Task_ID,Type,Success_Rate,Delay,Decision,Queue_Load_Avg,Jensen_Gap
109,BeautyCam,45.87155963302752,1.2601578618556573,Offload,1.7006060226914717,-2.198634578364679
110,BeautyCam,46.36363636363636,0.32972581063017,Local,1.5027541821118258,-3.6534674372250673
111,BeautyCam,46.846846846846844,0.11493366510321586,Local,1.496707943892678,-3.692415751882539
112,BeautyCam,47.32142857142857,0.3280146129261991,Local,1.307742455166204,-3.535516239305638
113,BeautyCam,47.78761061946903,1.2870152459547124,Offload,1.3183652823226057,-1.9330252190975512
114,AR,47.368421052631575,1.6195045326865805,Local,1.406475800520236,-0.9462943407949833
115,BeautyCam,47.82608695652174,0.30041858445665026,Local,1.3952685775138578,-3.4699046678668566
116,BeautyCam,48.275862068965516,0.6482791088307064,Local,1.451385521796605,-3.08802284054272
117,AR,47.863247863247864,1.7056545234318126,Local,1.5519225956029996,-0.5595904534406739
118,AR,47.45762711864407,2.852487105282867,Local,1.7922098454934052,4.672826125359178
119,BeautyCam,47.05882352941176,2.6501485100259266,Offload,1.9096544261975623,3.5280882492288796
120,AR,46.666666666666664,1.7527858712373434,Offload,1.9463747328410412,-0.4475108771660832
121,AR,46.28099173553719,1.2536616671643825,Local,1.9523824514100845,-1.9442466809950074
122,AR,45.90163934426229,1.8134872071651966,Offload,1.8134393000967741,-0.20794524515912638
123,AR,45.52845528455284,2.530820935973224,Offload,1.8988928740765114,2.9101038929801613
124,AR,45.16129032258064,2.8333729020698,Offload,2.1515935011824188,4.5129188765847825
125,BeautyCam,45.6,1.8417335501294283,Offload,1.978069778054087,-0.152145596052641
126,AR,45.23809523809524,4.387933143270006,Offload,2.029772654122019,15.711059613079794
127,BeautyCam,45.66929133858268,0.3559954232337954,Local,1.954124327995857,-3.4914227216860856
128,AR,45.3125,1.8957487821091021,Offload,2.1401843275546555,0.021874735135867684
129,AR,44.96124031007752,2.718424432764459,Local,2.105276031737372,3.817672049355185
130,BeautyCam,45.38461538461539,1.2273044353902507,Local,2.125970202829891,-2.090198913378053
131,BeautyCam,45.80152671755725,2.2065875099959533,Offload,2.0541777788441076,1.2920494548373807
132,BeautyCam,46.21212121212121,2.2341232967121005,Local,1.8071282616485704,1.4052180273906636
133,BeautyCam,46.616541353383454,1.365682323291828,Local,1.7040503062622416,-1.7307749573768623
134,BeautyCam,46.26865671641791,2.648959693338243,Offload,1.5445306716880618,3.4362384867476705
135,BeautyCam,46.666666666666664,2.4222346338067124,Offload,1.2880356703677207,2.2650689848722125
136,AR,46.32352941176471,2.649480040504984,Local,1.7576455831164712,3.402835711221953
137,AR,45.98540145985402,1.8415451756319583,Offload,1.7111370562872952,-0.24656092171150368
138,BeautyCam,45.65217391304348,3.0150168627341953,Offload,1.6877907355428732,5.454308185248701
139,AR,45.32374100719424,3.8103999220300833,Offload,2.051298553379612,10.852439651983588
140,BeautyCam,45.714285714285715,0.7106861784750605,Local,1.9646259759475455,-3.214044841184166
141,BeautyCam,46.09929078014184,1.9176700259841843,Local,1.9898670268024747,-0.008186166571724218
142,BeautyCam,46.478873239436616,2.215950601445878,Local,1.9188619843129242,1.2248506628823876
143,AR,46.15384615384615,4.160446551718541,Offload,2.259804061963995,13.615716737385956
144,AR,45.83333333333333,1.920159242959492,Offload,2.481259511126059,-0.06700370178605475
145,AR,45.51724137931035,3.8410606460321017,Offload,2.7947424341516753,11.000199050309451
146,AR,45.20547945205479,2.4077252478838855,Local,2.7993811929678256,1.9925496114134695
147,AR,44.89795918367347,5.0237178049954565,Offload,3.3520249640127053,21.420923577074117
148,BeautyCam,45.27027027027027,2.2085147659183044,Local,2.810026127354445,0.9786807889713991
149,BeautyCam,44.966442953020135,3.6231217410552206,Local,2.923604518469526,9.221909115525786
150,BeautyCam,44.666666666666664,3.546864000174058,Offload,2.923445010620129,8.631333189238106
151,AR,44.370860927152314,5.621796967644264,Offload,3.19913123238521,27.61425705059879
152,BeautyCam,44.07894736842105,3.4246390876439907,Offload,3.1712741944805964,7.6413430393954975
153,BeautyCam,43.790849673202615,3.5276472719958507,Local,3.1529839301862195,8.320079276283142
154,AR,43.506493506493506,2.3018371395280868,Offload,3.2571112497802703,1.1344067079436524
155,AR,43.225806451612904,3.2787904440850535,Offload,2.936026934907585,6.579493261379875
156,BeautyCam,42.94871794871795,3.650607046780048,Local,3.000578663597377,9.123310301089994
157,AR,42.675159235668794,2.7713983008734764,Offload,3.1635453544655614,3.4348561357096346
158,AR,42.405063291139236,4.554693337298366,Local,3.295951253288739,16.48075909234542
159,AR,42.138364779874216,4.299277799650046,Local,3.4562176579085033,14.153989990765822
160,AR,41.875,5.576611218666882,Local,3.8171156359641514,26.71053285520329
161,AR,41.61490683229814,5.526663081115997,Local,4.0976265073510545,26.064300719586324
162,BeautyCam,41.358024691358025,5.340292725580029,Local,4.064419767183256,23.948913415850548
163,AR,41.104294478527606,3.7140807738892168,Offload,3.769120426952989,9.139671271767618
164,AR,40.853658536585364,3.903615825996291,Local,3.951815524722344,10.542194040436446
165,BeautyCam,41.21212121212121,2.455619952412055,Local,3.288365498233167,1.2880416603634623
166,AR,40.963855421686745,4.739239406320403,Local,3.74496445644854,17.711021696914212
167,BeautyCam,40.7185628742515,2.855635885971669,Local,3.597934080410621,3.3378346495558446
168,AR,40.476190476190474,3.9266254926757664,Local,3.804029300803893,10.584178981144209
169,BeautyCam,40.23668639053255,4.450294455762133,Local,3.8743087682882544,14.925577632881762
170,AR,40.0,5.10839100490254,Offload,4.02826377197881,21.157347726491686
171,BeautyCam,39.76608187134503,3.8980522653941563,Local,3.697983757171913,10.180756836641411
172,AR,39.53488372093023,5.613666041950547,Local,3.9520860938729725,26.455653286958075
173,AR,39.30635838150289,5.143844343471055,Offload,3.93257349263101,21.31317004036879
174,AR,39.08045977011494,7.3481697764660225,Local,4.722172096278919,48.77395127373302
175,AR,38.857142857142854,6.592037468754596,Local,5.355373264922585,38.09947958995308
176,BeautyCam,38.63636363636363,3.9610820274596485,Local,5.164782405084171,10.220954842889068
177,BeautyCam,38.4180790960452,3.998301723243213,Local,5.068537276664548,10.473998533958952
178,AR,38.20224719101123,6.033738808621066,Offload,5.251387005187318,30.84971349959655
179,BeautyCam,37.988826815642454,4.80145031743411,Local,5.121879586654238,17.39983376004261
180,BeautyCam,37.77777777777778,3.915064109416809,Local,5.091663289653844,9.609061681181942
181,BeautyCam,37.569060773480665,4.23635910361774,Local,5.138827464222354,12.18751579206031
182,BeautyCam,37.362637362637365,6.706839812549655,Local,5.232078016828346,39.17367462217968
183,BeautyCam,37.15846994535519,4.170390711468161,Local,4.804766955796971,11.469780539766582
184,AR,36.95652173913043,6.282330841236294,Offload,4.990684188681323,33.49901959219781
185,BeautyCam,36.75675675675676,5.278877346008667,Local,4.946862296513201,21.79549725288866
186,BeautyCam,36.55913978494624,7.044897523883533,Local,5.1421062782933,43.4843187634399
187,BeautyCam,36.36363636363637,6.988501926279331,Local,5.0562387742000805,42.57058237383917
188,BeautyCam,36.17021276595745,4.754424479475321,Local,4.7998322717219875,16.215307924607345
189,AR,35.978835978835974,6.300029141625131,Offload,5.150688034922766,33.24110510795988
190,AR,35.78947368421053,4.5751595610516524,Offload,5.232956527325356,14.381369777545753
191,BeautyCam,35.602094240837694,8.656006873939543,Local,5.410966237864619,68.3213207423107
192,BeautyCam,35.41666666666667,8.13809989668008,Offload,5.683395176182158,59.45873819835225
193,BeautyCam,35.233160621761655,5.112789606979396,Local,5.620124414798596,19.219805816404964
194,AR,35.051546391752574,4.709676827166496,Local,5.631274383830769,15.192414154229121
195,BeautyCam,34.87179487179487,6.042734828166153,Offload,4.935061153425069,29.46958109674224
196,AR,34.69387755102041,5.174327959525106,Local,5.08435205468025,19.636059760290173
197,BeautyCam,34.51776649746193,5.093259365784116,Local,5.038080246625396,18.73529047482547
198,AR,34.34343434343434,5.06130736774552,Local,5.266401630381803,18.345034116999564
199,BeautyCam,34.17085427135678,5.296437126958758,Local,5.227695546347336,20.715894739044344
200,AR,34.0,6.2769961432602495,Local,5.217745134731743,31.993713543658657
201,AR,33.83084577114428,5.261547185350436,Offload,5.322024805345906,20.179832271516492
202,BeautyCam,33.663366336633665,7.160856599079116,Local,5.316827294518534,43.704915197096405
